formulation,dose_units,t50_hours,peak_concentration,time_to_peak_hours,auc_0_24
Regular,24.0,2.9000000000000004,0.08210182982942184,1.8738738738738738,0.3649575561559346
NPH,24.0,9.22,0.026066569171819032,5.525525525525525,0.322086091472203
Lente,24.0,9.8,0.02709622514290655,6.966966966966967,0.3310598454002188
Ultralente,24.0,13.0,0.020980154846962685,9.441441441441441,0.30353126787787577
