formulation,parameter,normalized_sensitivity
Regular,s,0.06321236652198992
Regular,a,-0.012094202855861888
Regular,b,-0.01713261558173329
NPH,s,0.24785400720988407
NPH,a,-0.12211137693298392
NPH,b,-0.1384891666586424
Lente,s,0.2268720189145239
Lente,a,-0.09354679884001899
Lente,b,-0.16102364694110863
Ultralente,s,0.273158379774485
Ultralente,a,
Ultralente,b,-0.44957213656297157
